"id","reviewtext"
"0","no issues"
"1","purchased device worked advertised never much phone memory since download lot stuff no brainer"
"2","works expected sprung higher capacity think made bit cheesier earlier versions paint looks clean"
"3","think worked great diff bran 64gb card went south 3 months one held pretty well since s3 note3 update 3 21 14i ve months zero issue since transferred s3 note3 note2 card reliable solid cheers"
"4","bought retail packaging arrived legit orange envelope english version asian like picture shows arrived quickly bought 32 16 retail packaging htc one sv lg optimus cards working order probably best price ll get nice sd card"
"5","mini storage doesn anything else supposed purchased add additional storage microsoft surface pro tablet come 64 128 gb supposed sandisk long standing reputation speaks"
"6","phone never skips beat file transfers speedy corruption issues memory fade issues would expect sandisk brand great card entrust precious files slightly cheaper piece crap lose everything forgive spending extra couple bucks trusted product goes good qa"
"7","hard believe affordable digital become 32 gb device one quarter sie postage stamp would science fiction less generation ago picked portable music didn want schlep risk phone ipod works great sd card readers select confidence"
"8","works htc rezound running short space 64gb sandisk ordered came fast no issues"
"9","galaxy s4 super fast card totally happy happy still type fill required words though"
"10","like sd card take music video downloads personal videos files docs multimedia images fast transfer rate class 10 speed take games large files easily still enough space apps 34 great video cameras camcorders supplied adapter fits easily smartphones tablets sd card slots recommend 32gb sd card everyone"
"11","works file writes bit slower expected usb3 reader also reads writes faster card inside standard size sd adapter 15 mb vs 10 write 45 mb vs 22 mb read card reader figure"
"12","name speaks go sandisk go"
"13","solid sdhc card fast reading writing fast recording video pics great capacity reasonably priced no issues overall highly recommend"
"14","heard card write speed insufficient however used extensively haven single problem"
"15","bought use go pro hero 3 black edition requires class 10 microsdxc card far ve no issues fast read write came adapter small packaging needed comes nice hard plastic case keep dry together needed"
"16","got 2 gb one filled kept getting insufficient disk space phone kids take phone selfies mostly daughter get bigger card 2gb one carry old phone needless say sweet plenty space dont delete pictures anymore well least daughter loves selfies"
"17","class 10 speed rating seamless full hd videothe sandisk ultra uhs card features class 10 uhs speed class 1 u1 rating highest video performance available recording uninterrupted full hd video flawless app performancethis card retrieve stored data almost instantly thanks 30mb read capability fast bus interface sandisk ultra microsdhc microsdxc uhs cards offer faster app loading smoother fluid app performance storage capacities 64gbthis card plenty room accommodate full hd videos mp3s apps memory intensive mobile files available sizes 64gb store apps music video want android app easy file managementthe included sandisk memory zone app lets easily view access backup digital files phone memory additional memory card cloud service one convenient place using app easily move files card number cloud storage services durable designsandisk ultra uhs memory cards capture memories 13 185 degrees fahrenheit shockproof waterproof x ray proof design mobile device may survive sandisk memory card"
"18","read write speeds better samsung sd card previously would hesitate buy another one great micro sd cards sandisk also clip plus mp3 player works well think m becoming fan sandisk products"
"19","works nl1520 no video stuttering like 64gb blah blah blah blah fill rest"
"20","works expected high transfer speed nice extra microsd adapters lying around since always seem misplace mainly bought use nikon dslr since put card directly cm modded nook hd tablet field view images larger screen"
"21","works great samsung galaxy s3 formatted straight away full size really tell speed difference one slower card replaced guess io phone take advantage"
"22","sandisk never disappoints always sandisk products worth every penny nice product quality works great recommend product everyone"
"23","good price works flawless samsung s4 normal sandisk quality go brand brand"
"24","san disk hard beat pay brand get quality product would purchase"
"25","installed blackberry q10 sqn100 1 formatted works fine plenty storage space pictures videos son park"
"26","received card class 10 64gb correct serial sdsdqua 064g a11a received unopened sandisk packaging going use htc rezound hope works read work reformatting disk update review issues using rating remain unchanged"
"27","stuck s2 formatted settings works great already filled music pics videos get card format right ll no problems phone won right got samsung haha"
"28","purchased two one samsung tablet one samsung galaxy note great hardware truly speedy responsive meets needs"
"29","advertised specs match long device using handle e usb 3 0 crapple bs delivers advertised speed p speed read write knew right"
"30","item great believe small imagine 64gb size back 70 whole buildings full computers couldn pack much space great item"
"31","ve trying get hold 32gb micro sd phone tablet pretty fast compared 16gb cards ve using really saw performance boost phone many apps pictures music documents phone boots fully stable 2 mins apposed 5 6 mins computer also write cards much faster 16gb ones using phone tablet device support recommend purchase also pay like half price using amazon opposed retail stores price least double ve seen cards going 72 area"
"32","bought 2 sandisk 32 gb microsd used galaxy note galaxy s4first one phone started saying removed recognize diedi thought luck plugged 2nd one stayed 2 months died suddenly lost everythingnever buying sandisk ever"
"33","memory card excellent condition work described dependable easy use excellent choice enthusiast requires storage"
"34","ve got couple varying sizes ve no problems no complaints speed always end buying prices low get"
"35","8 gigs memory note 2 running room much memory space available know"
"36","bought surface pro ve months ve no problems fast stable"
"37","would recommend card everyone data transfer speeds excellent card galaxy s2 didn need format card anything 100 satisfied"
"38","bougth micro sd card trubles got kingston tell sandisk quality best i9300 phone read 64gb fast dta transfer speed pc amazing looking additional storage phone music pictures type files pros good quality materials construction amazing speedupdate one year memory damaged delete put new files format memory tried format phone pc camera nothing like 64gb cd data memory available read move delete bought memory used backup data android device readable memory write data hope sandisk make better products future total disagree buy samsung memory card expected better quality"
"39","using contout gps camera waste time buying brand waste buy best start"
"40","fantastic little drive gigabytes says works ways discern use hold flac recordings play excellent fiio x5 digital audio player real thing one fakes evidently"
"41","happy micro sd could tell difference response time bb curve well asus tablet want something transfer files photos videos music faster micro sd card say faster cards price trick devices professional photographer might want go ultra 3 micro sd everyday user work wonders device"
"42","ve purchased several little babies years always buy sandisk ve never one fail price great amount storage get"
"43","ordered galaxy s3 lasted months broke accessible several different pc says limited lifetime warranty bs one month eco zone lose pictures crappy return policy future buying kingston sandisk update amazon customer service made good refunded purchase price still buying sandisk memory cards however"
"44","like 8mb note 10 1 using sandisk app bit faster note ii still disappointment devices quad core processors sure card device benefit doubt four stars"
"45","much say plug play good quality fits lot video good good good"
"46","new camcorder required fast sd micro sandisk products always provided first class service extra cost well worth"
"47","tiny marvel claims possible problem small may lose happen drop handling 16 gb capacity won handling often"
"48","job price right came quickly m happy purchase would recommend would"
